Time (s),EMG Voltage (V)
1.123,1.946582
1.124,2.008102
1.125,2.021308
1.126,1.93853
1.127,1.696636
1.128,1.417703
1.129,1.345553
1.13,1.396766
1.131,1.436706
1.132,1.521739
1.133,1.507245
1.134,1.44959
1.135,1.495005
1.136,1.526571
1.137,1.520451
1.138,1.428976
1.139,1.357149
1.14,1.308835
1.141,1.347486
1.142,1.440249
1.143,1.511754
1.144,1.535267
1.145,1.494039
1.146,1.430264
1.147,1.384205
1.148,1.359403
1.149,1.378085
1.15,1.426721
1.151,1.469882
1.152,1.51111
1.153,1.546218
1.154,1.583259
1.155,1.616113
1.156,1.639304
1.157,1.666037
1.158,1.69406
1.159,1.739153
1.16,1.85865
1.161,1.965908
1.162,2.027428
1.163,2.032581
1.164,1.950447
1.165,1.811624
1.166,1.658307
1.167,1.55878
1.168,1.521095
1.169,1.516586
1.17,1.543642
1.171,1.566188
1.172,1.583259
1.173,1.581971
1.174,1.575851
1.175,1.597109
1.176,1.61257
1.177,1.608383
1.178,1.593888
1.179,1.580038
1.18,1.565222
1.181,1.560713
1.182,1.563611
1.183,1.568443
1.184,1.577461
1.185,1.570697
1.186,1.559102
1.187,1.544608
1.188,1.531724
1.189,1.531724
1.19,1.53269
1.191,1.537844
1.192,1.543319
1.193,1.543642
1.194,1.544608
1.195,1.534623
1.196,1.528825
1.197,1.524638
1.198,1.527537
1.199,1.527537
1.2,1.529469
1.201,1.545896
1.202,1.559424
1.203,1.567477
1.204,1.57424
1.205,1.577139
1.206,1.578428
1.207,1.569731
1.208,1.539454
1.209,1.525926
1.21,1.545896
1.211,1.562645
1.212,1.557492
1.213,1.553304
1.214,1.561357
1.215,1.564256
1.216,1.556525
1.217,1.553304
1.218,1.536878
1.219,1.519162
1.22,1.516908
1.221,1.504024
1.222,1.475035
1.223,1.467949
1.224,1.464084
1.225,1.451845
1.226,1.443792
1.227,1.439283
1.228,1.451845
1.229,1.470848
1.23,1.487275
1.231,1.505634
1.232,1.51884
1.233,1.535267
1.234,1.535267
1.235,1.535911
1.236,1.549439
1.237,1.558458
1.238,1.569731
1.239,1.600008
1.24,1.634472
1.241,1.673124
1.242,1.702756
1.243,1.715962
1.244,1.70952
1.245,1.684719
1.246,1.657663
1.247,1.606128
1.248,1.544608
1.249,1.532368
1.25,1.513687
1.251,1.513365
1.252,1.531402
1.253,1.540421
1.254,1.518518
1.255,1.490496
1.256,1.485665
1.257,1.504346
1.258,1.529469
1.259,1.548473
1.26,1.563289
1.261,1.556203
1.262,1.53108
1.263,1.517874
1.264,1.513043
1.265,1.514975
1.266,1.515941
1.267,1.524316
1.268,1.518518
1.269,1.522705
1.27,1.524316
1.271,1.522705
1.272,1.523672
1.273,1.529791
1.274,1.552338
1.275,1.569087
1.276,1.591312
1.277,1.59421
1.278,1.593244
1.279,1.576495
1.28,1.549117
1.281,1.540098
1.282,1.535589
1.283,1.521739
1.284,1.52496
1.285,1.528825
1.286,1.555881
1.287,1.61257
1.288,1.665715
1.289,1.711453
1.29,1.733999
1.291,1.744306
1.292,1.740763
1.293,1.729812
1.294,1.71564
1.295,1.686651
1.296,1.669903
1.297,1.63415
1.298,1.610959
1.299,1.613214
1.3,1.594855
1.301,1.554915
1.302,1.50338
1.303,1.448946
1.304,1.456354
1.305,1.479223
1.306,1.509822
1.307,1.550406
1.308,1.575207
1.309,1.610637
1.31,1.622877
1.311,1.638981
1.312,1.652832
1.313,1.650577
1.314,1.636727
1.315,1.638659
1.316,1.649611
1.317,1.627708
1.318,1.629319
1.319,1.668292
1.32,1.686329
1.321,1.700824
1.322,1.696314
1.323,1.688262
1.324,1.710164
1.325,1.724981
1.326,1.718861
1.327,1.678599
1.328,1.659273
1.329,1.6203
1.33,1.591634
1.331,1.58487
1.332,1.570053
1.333,1.55105
1.334,1.555881
1.335,1.571664
1.336,1.589379
1.337,1.619334
1.338,1.643169
1.339,1.658629
1.34,1.662816
1.341,1.671835
1.342,1.672801
1.343,1.683753
1.344,1.699213
1.345,1.703723
1.346,1.700824
1.347,1.711453
1.348,1.748816
1.349,1.790688
1.35,1.828695
1.351,1.853819
1.352,1.880875
1.353,1.895047
1.354,1.905676
1.355,1.907286
1.356,1.89086
1.357,1.885384
1.358,1.867669
1.359,1.847055
1.36,1.857684
1.361,1.873788
1.362,1.879586
1.363,1.877654
1.364,1.887639
1.365,1.905032
1.366,1.916305
1.367,1.929833
1.368,1.9279
1.369,1.912762
1.37,1.880875
1.371,1.82322
1.372,1.757512
1.373,1.695992
1.374,1.634794
1.375,1.596465
1.376,1.593244
1.377,1.607738
1.378,1.628997
1.379,1.630285
1.38,1.615469
1.381,1.564256
1.382,1.483088
1.383,1.367456
1.384,1.266318
1.385,1.192881
1.386,1.132649
1.387,1.10205
1.388,1.088522
1.389,1.120087
1.39,1.177098
1.391,1.213173
1.392,1.234109
1.393,1.253112
1.394,1.278236
